kod knihy,Nazev,Autor,Kategorie,Obor/zanr,Umisteni,Signatura,Způsob ziskani,mautritni,pujcena
733,Pompeje – Posledni den,"Hrubesovi, Eva a Josef",odborna,historie,inventar,Zk838,koupena,no,no
734,Koloseum – Rimska arena smrti,"Hrubesovi, Eva a Josef",odborna,historie,inventar,Zk839,koupena,no,no
841,Praha babka mest,"Hrubesovi, Eva a Josef",odborna,historie,inventar,Zk840,koupena,no,no
875,Osmanska rise 15.-18. st.,"Hrubesovi, Eva a Josef",odborna,historie,inventar,Zk841,koupena,no,no
876,"Dejiny odivani, doba turnyry a secese",,odborna,historie,inventar,Zk854,koupena,no,no
886,"Kulturni, duchovni a etnicke koreny Ruska",,odborna,historie,inventar,Zk883,koupena,no,no
888,Poprava Zavise Kalandry,,odborna,historie,inventar,Zk884,koupena,no,no
889,Lexikon nasich hospodarskych dejin,"Jezkova, Alena",odborna,historie,inventar,Zk994,koupena,no,no
890,Rad templarů,,odborna,historie,inventar,Zk1028,koupena,no,no
893,Labyrintem stredoveku,,odborna,historie,inventar,Zk1029,koupena,no,no
898,Prsten pameti – Pet prochazek Prahou,,odborna,historie,inventar,Zk1039,koupena,no,no
899,Prsten pameti – Pet prochazek Prahou,"Boucek, Jaroslav",odborna,historie,inventar,Zk1041,koupena,no,no
901,Ilustrovana encyklopedie odivani,,odborna,historie,inventar,Zk1042,koupena,no,no
906,Prazska heraldika,,odborna,historie,inventar,Zk1043,koupena,no,no
911,Mnichov 1938,,odborna,historie,inventar,Zk104,koupena,no,no
915,Valka o Irak ocima tri reporterů,"Stejskalova, Anna",odborna,historie,inventar,Zk1051,koupena,no,no
922,Encyklopedie starovekeho Predniho vychodu,"Stejskalova, Anna",odborna,historie,inventar,Zk1052,koupena,no,no
933,Encyklopedie ceskych klasterů,,odborna,historie,inventar,ZKQI1,koupena,no,no
940,Staroveke civilizace (Encyklopedie skolaka),"Hrdlicka, Jan",odborna,historie,dar,,koupena,no,no
1004,Alexander Veliky a jeho elitni pechota,"Filipek, Jan",odborna,historie,dar,,koupena,no,no
1005,Encyklopedie moderni historie,"Kubal, Michal a kol.",odborna,historie,dar,,koupena,no,no
1006,Frankove a Evropa,,odborna,historie,dar,,koupena,no,no
